Symbol,Direction,Timeframe,EntryDate,EntryPrice,SignalBarPrice,BuyScore,Status,LastCheckedDate,LastPrice,UnrealizedReturnPct,SignalReturnPct,ExitDate,ExitPrice,ReturnPct,HoldingDays,ExitReason,Flag
GABRIEL,BUY,Monthly,2026-08-15,1459.0,1389.13,93.0,OPEN,2026-09-11,1351.9,-7.34,-7.34,,,,18,,
EXIDEIND,BUY,Monthly,2026-08-15,476.1,452.7,84.0,OPEN,2026-09-11,414.05,-13.03,-13.03,,,,20,,
LALPATHLAB,BUY,Monthly,2026-08-15,1916.3,1878.8,82.0,OPEN,2026-09-11,1913.3,-0.16,-0.16,,,,18,,
BOSCHLTD,BUY,Monthly,2026-08-15,47100.0,41278.36,80.0,OPEN,2026-09-11,48710.0,3.42,3.42,,,,19,,Price moved +14.1% since the signal bar (41278.36 -> 47100.00)
GODREJIND,BUY,Monthly,2026-08-15,1252.5,1309.4,72.0,OPEN,2026-09-11,1106.9,-11.62,-11.62,,,,18,,
PREMIERPOL,BUY,Monthly,2026-08-15,73.55,73.53,94.0,OPEN,2026-09-11,85.83,16.7,16.7,,,,19,,
MPSLTD,BUY,Monthly,2026-08-15,2808.7,2650.2,91.0,OPEN,2026-09-11,2615.6,-6.88,-6.88,,,,18,,
TBZ,BUY,Monthly,2026-08-15,251.35,276.34,90.0,OPEN,2026-09-11,526.3,109.39,109.39,,,,18,,Flagged: +20.0% single-day move — verify price data before trusting this result
GNA,BUY,Monthly,2026-08-15,542.7,530.8,89.0,OPEN,2026-09-11,545.0,0.42,0.42,,,,18,,
CNL,BUY,Monthly,2026-08-15,1243.0,997.15,87.0,OPEN,2026-09-11,1126.5,-9.37,-9.37,,,,18,,Price moved +24.7% since the signal bar (997.15 -> 1243.00)
MMFL,BUY,Monthly,2026-08-15,589.75,535.0,82.0,OPEN,2026-09-11,630.8,6.96,6.96,,,,19,,Price moved +10.2% since the signal bar (535.00 -> 589.75)
GREAVESCOT,BUY,Monthly,2026-08-15,194.37,238.05,69.0,OPEN,2026-09-11,191.85,-1.3,-1.3,,,,19,,Price moved -18.3% since the signal bar (238.05 -> 194.37)
SIS,BUY,Monthly,2026-08-15,429.65,424.25,66.0,OPEN,2026-09-11,421.9,-1.8,-1.8,,,,18,,
SHRIRAMFIN,BUY,Weekly,2026-08-16,1122.0,1115.0,75.0,OPEN,2026-09-11,1030.0,-8.2,-8.2,,,,20,,
ANTELOPUS,BUY,Monthly,2026-08-16,782.6,821.5,69.0,OPEN,2026-09-11,1134.7,44.99,44.99,,,,20,,Flagged: +20.0% single-day move — verify price data before trusting this result
RBA,BUY,Weekly,2026-08-16,99.08,94.92,88.0,OPEN,2026-09-11,97.94,-1.15,-1.15,,,,19,,
MANYAVAR,BUY,Weekly,2026-08-16,528.75,516.9,87.0,OPEN,2026-09-11,582.7,10.2,10.2,,,,18,,
GULFOILLUB,BUY,Weekly,2026-08-16,1159.3,1189.5,84.0,OPEN,2026-09-11,1061.0,-8.48,-8.48,,,,19,,
FIEMIND,BUY,Weekly,2026-08-16,2350.4,2580.3,91.0,OPEN,2026-09-11,1997.9,-15.0,-15.0,,,,18,,
TNPETRO,BUY,Weekly,2026-08-17,112.8,110.93,88.0,OPEN,2026-09-11,131.6,16.67,16.67,,,,19,,
TVSSRICHAK,BUY,Weekly,2026-08-17,4740.0,4478.1,84.0,OPEN,2026-09-11,5149.5,8.64,8.64,,,,17,,
DYCL,BUY,Weekly,2026-08-17,466.0,450.2,78.0,OPEN,2026-09-11,456.45,-2.05,-2.05,,,,18,,
KRYSTAL,BUY,Weekly,2026-08-17,621.15,620.0,76.0,OPEN,2026-09-11,612.7,-1.36,-1.36,,,,18,,
PVSL,BUY,Weekly,2026-08-17,115.9,116.51,84.0,OPEN,2026-09-11,99.64,-14.03,-14.03,,,,18,,
