Symbol,Name,Category
ABB,ABB India Limited,Large
ADANIENSOL,Adani Energy Solutions Limited,Large
ADANIENT,Adani Enterprises Limited,Large
ADANIGREEN,Adani Green Energy Limited,Large
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Large
ADANIPOWER,Adani Power Limited,Large
AMBUJACEM,Ambuja Cements Limited,Large
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Large
ASIANPAINT,Asian Paints Limited,Large
AXISBANK,Axis Bank Limited,Large
BAJAJ-AUTO,Bajaj Auto Limited,Large
BAJAJFINSV,Bajaj Finserv Limited,Large
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Large
BAJFINANCE,Bajaj Finance Limited,Large
BANKBARODA,Bank of Baroda,Large
BEL,Bharat Electronics Limited,Large
BHARTIARTL,Bharti Airtel Limited,Large
BOSCHLTD,Bosch Limited,Large
BPCL,Bharat Petroleum Corporation Limited,Large
BRITANNIA,Britannia Industries Limited,Large
CANBK,Canara Bank,Large
CGPOWER,CG Power and Industrial Solutions Limited,Large
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Large
CIPLA,Cipla Limited,Large
COALINDIA,Coal India Limited,Large
CUMMINSIND,Cummins India Limited,Large
DIVISLAB,Divi's Laboratories Limited,Large
DLF,DLF Limited,Large
DMART,Avenue Supermarts Limited,Large
DRREDDY,Dr. Reddy's Laboratories Limited,Large
EICHERMOT,Eicher Motors Limited,Large
ENRIN,Siemens Energy India Limited,Large
ETERNAL,ETERNAL LIMITED,Large
GAIL,GAIL (India) Limited,Large
GODREJCP,Godrej Consumer Products Limited,Large
GRASIM,Grasim Industries Limited,Large
HAL,Hindustan Aeronautics Limited,Large
HCLTECH,HCL Technologies Limited,Large
HDFCAMC,HDFC Asset Management Company Limited,Large
HDFCBANK,HDFC Bank Limited,Large
HDFCLIFE,HDFC Life Insurance Company Limited,Large
HINDALCO,Hindalco Industries Limited,Large
HINDUNILVR,Hindustan Unilever Limited,Large
HINDZINC,Hindustan Zinc Limited,Large
HYUNDAI,Hyundai Motor India Limited,Large
ICICIBANK,ICICI Bank Limited,Large
INDHOTEL,The Indian Hotels Company Limited,Large
INDIGO,InterGlobe Aviation Limited,Large
INFY,Infosys Limited,Large
IOC,Indian Oil Corporation Limited,Large
IRFC,Indian Railway Finance Corporation Limited,Large
ITC,ITC Limited,Large
JINDALSTEL,JINDAL STEEL LIMITED,Large
JIOFIN,Jio Financial Services Limited,Large
JSWSTEEL,JSW Steel Limited,Large
KOTAKBANK,Kotak Mahindra Bank Limited,Large
LODHA,Lodha Developers Limited,Large
LT,Larsen & Toubro Limited,Large
LTM,LTM Limited,Large
M&M,Mahindra & Mahindra Limited,Large
MARUTI,Maruti Suzuki India Limited,Large
MAXHEALTH,Max Healthcare Institute Limited,Large
MAZDOCK,Mazagon Dock Shipbuilders Limited,Large
MOTHERSON,Samvardhana Motherson International Limited,Large
MUTHOOTFIN,Muthoot Finance Limited,Large
NESTLEIND,Nestle India Limited,Large
NTPC,NTPC Limited,Large
ONGC,Oil & Natural Gas Corporation Limited,Large
PFC,Power Finance Corporation Limited,Large
PIDILITIND,Pidilite Industries Limited,Large
PNB,Punjab National Bank,Large
POWERGRID,Power Grid Corporation of India Limited,Large
RECLTD,REC Limited,Large
RELIANCE,Reliance Industries Limited,Large
SBILIFE,SBI Life Insurance Company Limited,Large
SBIN,State Bank of India,Large
SHREECEM,SHREE CEMENT LIMITED,Large
SHRIRAMFIN,Shriram Finance Limited,Large
SIEMENS,Siemens Limited,Large
SOLARINDS,Solar Industries India Limited,Large
SUNPHARMA,Sun Pharmaceutical Industries Limited,Large
TATACAP,Tata Capital Limited,Large
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Large
TATAPOWER,Tata Power Company Limited,Large
TATASTEEL,Tata Steel Limited,Large
TCS,Tata Consultancy Services Limited,Large
TECHM,Tech Mahindra Limited,Large
TITAN,Titan Company Limited,Large
TMCV,Tata Motors Limited,Large
TMPV,Tata Motors Passenger Vehicles Limited,Large
TORNTPHARM,Torrent Pharmaceuticals Limited,Large
TRENT,Trent Limited,Large
TVSMOTOR,TVS Motor Company Limited,Large
ULTRACEMCO,UltraTech Cement Limited,Large
UNIONBANK,Union Bank of India,Large
UNITDSPR,United Spirits Limited,Large
VBL,Varun Beverages Limited,Large
VEDL,Vedanta Limited,Large
WIPRO,Wipro Limited,Large
ZYDUSLIFE,Zydus Lifesciences Limited,Large
360ONE,360 ONE WAM LIMITED,Mid
3MINDIA,3M India Limited,Mid
ABBOTINDIA,Abbott India Limited,Mid
ABCAPITAL,Aditya Birla Capital Limited,Mid
ACC,ACC Limited,Mid
AIAENG,AIA Engineering Limited,Mid
AIIL,Authum Investment & Infrastructure Limited,Mid
AJANTPHARM,Ajanta Pharma Limited,Mid
ALKEM,Alkem Laboratories Limited,Mid
ANTHEM,Anthem Biosciences Limited,Mid
APARINDS,Apar Industries Limited,Mid
APLAPOLLO,APL Apollo Tubes Limited,Mid
APOLLOTYRE,Apollo Tyres Limited,Mid
ASHOKLEY,Ashok Leyland Limited,Mid
ASTRAL,Astral Limited,Mid
ATGL,Adani Total Gas Limited,Mid
AUBANK,AU Small Finance Bank Limited,Mid
AUROPHARMA,Aurobindo Pharma Limited,Mid
AWL,AWL Agri Business Limited,Mid
BAJAJHFL,Bajaj Housing Finance Limited,Mid
BALKRISIND,Balkrishna Industries Limited,Mid
BANKINDIA,Bank of India,Mid
BDL,Bharat Dynamics Limited,Mid
BERGEPAINT,Berger Paints (I) Limited,Mid
BHARATFORG,Bharat Forge Limited,Mid
BHARTIHEXA,Bharti Hexacom Limited,Mid
BHEL,Bharat Heavy Electricals Limited,Mid
BIOCON,Biocon Limited,Mid
BLUESTARCO,Blue Star Limited,Mid
BSE,BSE Limited,Mid
COCHINSHIP,Cochin Shipyard Limited,Mid
COFORGE,Coforge Limited,Mid
COLPAL,Colgate Palmolive (India) Limited,Mid
CONCOR,Container Corporation of India Limited,Mid
COROMANDEL,Coromandel International Limited,Mid
CRISIL,Crisil Limited,Mid
DABUR,Dabur India Limited,Mid
DALBHARAT,Dalmia Bharat Limited,Mid
DIXON,Dixon Technologies (India) Limited,Mid
ENDURANCE,Endurance Technologies Limited,Mid
ESCORTS,Escorts Kubota Limited,Mid
EXIDEIND,Exide Industries Limited,Mid
FEDERALBNK,The Federal Bank  Limited,Mid
FLUOROCHEM,Gujarat Fluorochemicals Limited,Mid
FORTIS,Fortis Healthcare Limited,Mid
GICRE,General Insurance Corporation of India,Mid
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Mid
GLENMARK,Glenmark Pharmaceuticals Limited,Mid
GMRAIRPORT,GMR AIRPORTS LIMITED,Mid
GODFRYPHLP,Godfrey Phillips India Limited,Mid
GODREJIND,Godrej Industries Limited,Mid
GODREJPROP,Godrej Properties Limited,Mid
GROWW,Billionbrains Garage Ventures Limited,Mid
GVT&D,GE Vernova T&D India Limited,Mid
HAVELLS,Havells India Limited,Mid
HDBFS,HDB Financial Services Limited,Mid
HEROMOTOCO,Hero MotoCorp Limited,Mid
HEXT,Hexaware Technologies Limited,Mid
HINDPETRO,Hindustan Petroleum Corporation Limited,Mid
HONAUT,Honeywell Automation India Limited,Mid
HUDCO,Housing & Urban Development Corporation Limited,Mid
ICICIAMC,ICICI Prudential Asset Management Company Limited,Mid
ICICIGI,ICICI Lombard General Insurance Company Limited,Mid
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Mid
IDEA,Vodafone Idea Limited,Mid
IDFCFIRSTB,IDFC First Bank Limited,Mid
INDIANB,Indian Bank,Mid
INDUSINDBK,IndusInd Bank Limited,Mid
INDUSTOWER,Indus Towers Limited,Mid
IPCALAB,IPCA Laboratories Limited,Mid
IRCTC,Indian Railway Catering And Tourism Corporation Limited,Mid
IREDA,Indian Renewable Energy Development Agency Limited,Mid
ITCHOTELS,ITC Hotels Limited,Mid
JKCEMENT,JK Cement Limited,Mid
JSL,Jindal Stainless Limited,Mid
JSWENERGY,JSW Energy Limited,Mid
JSWINFRA,JSW Infrastructure Limited,Mid
JUBLFOOD,Jubilant Foodworks Limited,Mid
KALYANKJIL,Kalyan Jewellers India Limited,Mid
